Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Sal00,Sal11,Sigma-t11,Sigma-t11,PrDM,DepSM,T090C,T190C,Sbeox0Mm/Kg,Sbeox0ML/L,Sbeox1Mm/Kg,Sbeox1ML/L,FlECO-AFL
Antarctica 2010/2011,2,B,2010-12-17 13:16,-103.0758333,-69.46861111,1500,0.01,40.575,,,,,,,,,,,,,,,
Antarctica 2010/2011,2,B,2010-12-17 13:16,-103.0758333,-69.46861111,1500,3,52.075,,,,,,,,,,,,,,,
Antarctica 2010/2011,2,B,2010-12-17 13:16,-103.0758333,-69.46861111,1500,6,99.075,,,,,,,,,,,,,,,
Antarctica 2010/2011,2,B,2010-12-17 13:16,-103.0758333,-69.46861111,1500,9,60.175,,,,,,,,,,,,,,,
Antarctica 2010/2011,2,B,2010-12-17 13:16,-103.0758333,-69.46861111,1500,12,42.425,,,,,,,,,,,,,,,
Antarctica 2010/2011,2,B,2010-12-17 13:16,-103.0758333,-69.46861111,1500,15,49.825,,,,,,,,,,,,,,,
Antarctica 2010/2011,3,B,2010-12-18 13:16,-106.9505556,-70.03027778,3950.869,10,,,,33.9789,33.9775,27.3499,27.3499,10.115,10.012,-1.8136,-1.8135,296.25,6.81488,293.472,6.75098,0.0118
Antarctica 2010/2011,3,B,2010-12-18 13:16,-106.9505556,-70.03027778,3950.87,10,46.31818182,,7.66,33.9789,33.9775,27.3499,27.3499,10.115,10.012,-1.8136,-1.8135,296.25,6.81488,293.472,6.75098,0.0118
Antarctica 2010/2011,3,B,2010-12-18 13:16,-106.9505556,-70.03027778,3950.871,20,49.28333333,,7.03,33.9849,33.9843,27.3555,27.3555,20.319,20.113,-1.816,-1.8161,295.019,6.78661,292.467,6.72789,0.0114
Antarctica 2010/2011,3,B,2010-12-18 13:16,-106.9505556,-70.03027778,3950.872,35,55.76666667,,6.44,34.0159,34.0136,27.3795,27.3795,35.153,34.794,-1.822,-1.8212,294.86,6.78311,292.116,6.71999,0.0117
Antarctica 2010/2011,3,B,2010-12-18 13:16,-106.9505556,-70.03027778,3950.873,100,68.51666667,,5.91,34.4354,34.4333,27.6081,27.6081,151.922,150.329,0.7198,0.7122,205.462,4.72761,203.96,4.69304,0.011
Antarctica 2010/2011,3,B,2010-12-18 13:16,-106.9505556,-70.03027778,3950.874,300,120.6666667,,7.52,34.6777,34.6755,27.7186,27.7186,303.729,300.432,1.9114,1.9119,169.473,3.89995,168.088,3.86806,0.0115
