Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Pres [dbar],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,1000,106.1560976,,,1019,2.6435,34.4436,2.5771,1027.4784,5.6,74.2,96.38,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,900,106.2627907,,,910,2.8518,34.396,2.7919,1027.4216,5.83,77.6,96.38,0.095
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,800,102.0512195,,,809,2.9072,34.3322,2.8543,1027.3651,6.2,82.7,96.38,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,725,91.92857143,,,733,2.794,34.2474,2.7473,1027.3068,7.02,93.4,96.35,0.098
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,700,90.39512195,,,708,2.7913,34.2305,2.7464,1027.2934,6.97,92.7,96.35,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,600,75.53571429,,,607,3.082,34.1918,3.0426,1027.236,7.55,101,96.33,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,500,74.65609756,,,505,3.498,34.1824,3.464,1027.1891,7.71,104.3,96.35,0.094
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,470,55.99285714,,,475,3.2451,34.1198,3.2142,1027.1628,8.38,112.6,96.3,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,450,,,,455,3.4086,34.1184,3.3785,1027.1462,8.41,113.4,96.3,0.099
Antarctica 2013,519-1,B,2013-08-17 13:16,-51.73777778,-52.32361111,2759,400,51,,,404,3.652,34.1159,3.6246,1027.1205,8.43,114.4,96.3,0.095
