Publication: https://www.sciencedirect.com/science/article/pii/S0304420317300725?via%3Dihub,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1],HgTot [ng L-1],MeHg [pg L-1],Temperature [?C],Salinity [psu],pot.Temperature [?C],Sigma,Oxygen [ml/l],OxygSat [proz],Transmission [proz],Fluorometer [V]
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1692,122.5883721,,,0.5794,34.6887,0.485,1027.8276,6.51,82,96.44,0.074
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1670,124.460241,,,0.6091,34.6897,0.5159,1027.8266,6.51,82,96.44,0.07
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1650,113.66,,,0.6106,34.6897,0.5188,1027.8264,6.48,81.7,96.44,0.069
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1630,115.24,,,0.6103,34.6897,0.5199,1027.8263,6.51,82,96.46,0.072
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1610,117.8240964,,,0.6506,34.6908,0.5611,1027.8248,6.5,82,96.54,0.077
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1500,109.68,,,0.7451,34.694,0.6633,1027.8211,6.46,81.7,96.56,0.069
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1250,106.64,,,0.993,34.7042,0.9239,1027.8127,6.34,80.7,96.55,0.069
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,1000,103.4494382,,,1.24,34.7145,1.1849,1027.8035,6.25,80,96.56,0.079
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,750,104.85,,,1.4991,34.7083,1.4578,1027.7792,6.09,78.5,96.5,0.071
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,500,120.4444444,,,1.7489,34.6694,1.7215,1027.7284,5.73,74.3,96.44,0.069
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,400,110.9277108,,,1.8175,34.6364,1.7957,1027.6962,5.64,73.4,96.38,0.069
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,300,122.6888889,,,1.7188,34.5725,1.703,1027.6521,5.76,74.7,96.29,0.069
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,200,119.115,,,1.5411,34.4724,1.5311,1027.5845,6.2,80,96.16,0.069
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,150,97.39354839,,,0.79,34.2543,0.7835,1027.4596,7.91,99.9,96.13,0.07
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,100,60.88351648,,,0.2332,33.9385,0.2295,1027.2373,10.17,126.3,95.87,0.099
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,90,57.84,,,0.0485,33.8554,0.0454,1027.1799,10.75,132.8,95.34,0.16
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,80,48.42,,,0.0294,33.8519,0.0266,1027.178,10.76,132.9,95.27,0.163
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,70,37.07142857,,,0.0278,33.8518,0.0254,1027.178,10.8,133.3,95.25,0.162
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,60,16.21978022,,,0.03,33.8509,0.0279,1027.1772,10.81,133.4,95.14,0.167
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,51,36.26024096,,,0.0305,33.8498,0.0287,1027.1762,10.82,133.5,95.22,0.16
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,40,16.68913043,,,0.0305,33.8498,0.0291,1027.1762,10.8,133.3,95.21,0.162
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,30,,,,0.0347,33.8478,0.0337,1027.1744,10.99,135.7,95.19,0.197
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,20,17.88888889,,,0.0337,33.8533,0.033,1027.1788,9.55,117.9,95.19,0.171
Antarctica 2013,479-1,B,2013-06-14 18:55,-0.007777778,-55.00055556,1754,10,20.54805195,,,0.0333,33.8529,0.033,1027.1785,9.75,120.3,95.13,0.14
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,3547,118.7325,,,-0.3032,34.6547,-0.5334,1027.8538,7.5,92.3,96.38,0.09
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,3526,120.6413793,,,-0.3042,34.6548,-0.5323,1027.8538,7.52,92.5,96.38,0.091
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,3506,116.7111111,,,-0.3042,34.6548,-0.5323,1027.8538,7.52,92.5,96.38,0.091
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,3500,119.5807229,,,-0.3049,34.6549,-0.5306,1027.8538,7.5,92.3,96.39,0.097
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,3450,114.1835294,,,-0.2977,34.6552,-0.5179,1027.8535,7.5,92.3,96.36,0.093
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,3000,120.4915663,,,-0.2545,34.658,-0.4363,1027.852,7.39,91,96.46,0.099
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,2000,119.7,,,-0.0224,34.6679,-0.1298,1027.8449,6.99,86.6,96.48,0.094
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,999,138.7058824,,,0.3959,34.6837,0.3478,1027.8316,6.47,81.1,96.46,0.095
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,750,146.745,,,0.516,34.6815,0.4808,1027.8221,6.33,79.6,96.34,0.096
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,498,125.4494118,,,0.8878,34.6932,0.864,1027.8077,6.37,80.9,96.4,0.097
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,300,116.1439024,,,1.2291,34.6865,1.2145,1027.7789,6.23,79.8,96.32,0.097
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,200,122.7253012,,,1.3196,34.6488,1.3099,1027.7419,6.16,79,96.19,0.092
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,150,115.4329412,,,1.1345,34.5813,1.1275,1027.7003,6.46,82.5,96.16,0.097
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,100,86.00487805,,,-0.2761,34.2069,-0.2794,1027.4798,9.48,116.3,95.91,0.094
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,90,70.88888889,,,-0.6308,34.0352,-0.6335,1027.3569,10.87,132,95.71,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,81,40.11111111,,,-0.6433,34.0298,-0.6457,1027.353,10.89,132.2,95.69,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,70,15.81428571,,,-0.6468,34.0295,-0.6489,1027.3529,10.9,132.3,95.68,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,60,19.77857143,,,-0.6517,34.0284,-0.6535,1027.3523,10.93,132.7,95.66,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,50,15.76626506,,,-0.6502,34.0281,-0.6517,1027.3519,10.94,132.8,95.67,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,40,19.84186047,,,-0.6496,34.0284,-0.6508,1027.3521,10.91,132.5,95.65,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,31,31.91111111,,,-0.6482,34.0285,-0.6491,1027.3522,10.93,132.6,95.64,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,20,19.65348837,,,-0.6532,34.0283,-0.6538,1027.3521,10.9,132.3,95.63,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,10,9.911111111,,,-0.6474,34.0285,-0.6477,1027.3521,10.85,131.6,95.63,0.16
Antarctica 2013,481-1,B,2012-06-15 13:43,0.003055556,-57.00527778,3620,5,7.83,,,-0.6395,34.0286,-0.6396,1027.3518,10.93,132.6,95.43,0.143
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,4475,115.56,,,-0.353,34.6487,-0.6763,1027.8553,7.73,95,96.33,0.093
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,4455,115.7142857,,,-0.3525,34.6492,-0.6736,1027.8556,7.71,94.7,96.42,0.099
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,4435,113.755814,,,-0.3502,34.6493,-0.6692,1027.8555,7.72,94.8,96.43,0.095
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,4415,120.204878,,,-0.3484,34.6494,-0.6654,1027.8554,7.71,94.7,96.45,0.095
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,4395,114.3,,,-0.3467,34.6496,-0.6615,1027.8554,7.71,94.7,96.47,0.097
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,4000,115.2627907,,,-0.3432,34.6515,-0.6168,1027.855,7.66,94.1,96.58,0.097
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,3000,117.8341463,,,-0.2416,34.6588,-0.4237,1027.852,7.38,90.9,96.59,0.099
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,2000,120.2175,,,-0.0619,34.6667,-0.1686,1027.8459,7.03,87,96.63,0.099
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,1000,129.9,,,0.3112,34.6813,0.2638,1027.8345,6.54,81.7,96.58,0.098
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,500,138.8925,,,0.5644,34.6822,0.5419,1027.819,6.41,80.7,96.51,0.099
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,300,134.7146341,,,0.6013,34.6667,0.5883,1027.8037,6.48,81.7,96.37,0.094
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,200,126.8780488,,,0.2857,34.5968,0.2778,1027.7656,6.93,86.5,96.25,0.097
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,150,101.6162791,,,-0.57,34.4569,-0.5748,1027.6957,8.12,99.1,96.17,0.089
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,98,33.795,,,-0.7035,34.1105,-0.7064,1027.4209,10.73,130.1,95.89,0.13
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,90,25.47857143,,,-0.7827,34.0549,-0.7853,1027.379,10.98,132.7,95.81,0.13
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,80,20.97857143,,,-0.7891,34.0528,-0.7914,1027.3776,10.97,132.6,95.84,0.15
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,70,18.15365854,,,-0.7899,34.0525,-0.7919,1027.3774,10.97,132.6,95.82,0.149
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,60,19.62,,,-0.7897,34.0522,-0.7914,1027.3771,10.97,132.7,95.82,0.14
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,50,18.08372093,,,-0.8168,34.0504,-0.8182,1027.3767,10.99,132.8,95.79,0.13
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,40,17.4,,,-0.8297,34.0479,-0.8308,1027.3752,10.99,132.7,95.77,0.16
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,30,21.38571429,,,-0.7981,34.0518,-0.7989,1027.3771,10.98,132.7,95.79,0.16
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,20,16.3575,,,-0.8218,34.0489,-0.8224,1027.3757,10.96,132.4,95.77,0.133
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,10,16.51395349,,,-0.8221,34.049,-0.8224,1027.3758,10.95,132.3,95.77,0.149
Antarctica 2013,482-1,B,2012-06-16 01:05,0.021666667,-58.00611111,4513.5,4,19.035,,,-0.8222,34.0491,-0.8224,1027.3759,10.95,132.3,95.66,0.143
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,4540,119.3926829,,,-0.4077,34.6465,-0.7363,1027.8561,7.81,95.8,96.5,0.075
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,4510,119.5714286,,,-0.4098,34.6468,-0.7351,1027.8563,7.82,95.9,96.5,0.08
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,4500,124.3058824,,,-0.4101,34.6466,-0.7343,1027.8561,7.81,95.8,96.54,0.072
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,4480,119.6258824,,,-0.4077,34.6469,-0.7298,1027.8562,7.78,95.4,96.52,0.076
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,4460,118.05,,,-0.4091,34.6469,-0.729,1027.8562,7.81,95.8,96.51,0.085
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,3999,121.2888889,,,-0.4137,34.6488,-0.6851,1027.8558,7.74,95,96.58,0.071
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,3000,118.973494,,,-0.328,34.6563,-0.5081,1027.854,7.48,92,96.61,0.071
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,2000,119.5116279,,,-0.171,34.6643,-0.276,1027.8493,7.13,88,96.62,0.069
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,1000,135.9642857,,,0.1478,34.6772,0.1017,1027.8402,6.53,81.3,96.58,0.085
Antarctica 2013,483-1,B,2012-06-16 10:19,0.001944444,-59.00361111,4608.5,500,169.9156627,,,0.4036,34.686,0.3817,1027.8315,6.04,75.7,96.43,0.069
