Publication: https://doi.org/10.1016/j.marchem.2017.02.003,,,,,,,,
,,,,,,,,
Cruise,Station,Type,yyyy-mm-dd Thh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Depth [m],DGM [pg L-1]
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,526,76.16103896
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,400,42.18444444
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,300,29.4684466
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,200,35.90944785
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,175,26.44444444
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,110,23.96666667
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,80,7.56
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,60,9.65475
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,45,5.755555556
Fenice 2012,S01,B,2012-08-12 05:31,41.68555556,10.34277778,533,10,10.57390244
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,2580,76.93
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,2000,69.87
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,1500,87.08
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,1000,94.66
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,500,85.87
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,300,88.5
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,130,66.96
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,100,53.5
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,75,34.24
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,50,24.05
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,20,15.53
Fenice 2012,S02_B,B,2012-08-13 15:26,41.75361111,6.0725,2580,0,16.09
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,648,99.66
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,600,102.73
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,500,92.8
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,400,89.98
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,300,85.08
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,200,84.17
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,160,77.73
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,100,72.1
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,35,31.62
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,25,17.9
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,8,13.55
Fenice 2012,S04_B,B,2012-08-16 18:19,36.50666667,-4.036666667,652,0,6.79
Fenice 2012,S05_B,B,2012-08-17 19:08,36.97166667,-7.16,88,89,16.89
Fenice 2012,S05_B,B,2012-08-17 19:08,36.97166667,-7.16,88,50,15.57
Fenice 2012,S05_B,B,2012-08-17 19:08,36.97166667,-7.16,88,40,15.28
Fenice 2012,S05_B,B,2012-08-17 19:08,36.97166667,-7.16,88,25,13.22
Fenice 2012,S05_B,B,2012-08-17 19:08,36.97166667,-7.16,88,10,12.56
Fenice 2012,S05_B,B,2012-08-17 19:08,36.97166667,-7.16,88,4,13.66
Fenice 2012,S05_B,B,2012-08-17 19:08,36.97166667,-7.16,88,0,12.75
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,3600,90.63
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,3000,92.73
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,2500,87.06
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,2000,90.43
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,1500,86.41
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,1000,80.41
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,800,71.11
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,500,60.15
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,200,25.98
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,100,13.74
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,75,12.21
Fenice 2012,S06_B,B,2012-08-18 12:20,35.52277778,-9.155833333,3606,4,7.2
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,1077,130.76
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,900,127.2
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,700,133.66
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,500,134.83
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,300,129.12
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,200,97.39
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,100,43.14
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,50,25.93
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,40,29.21
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,20,52.56
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,4,30.29
Fenice 2012,S07_B,B,2012-08-20 06:40,35.90638889,-2.701666667,1078,0,34.43
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,2842,107.69
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,2000,117.96
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,1500,112.32
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,1000,121.49
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,600,119.67
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,300,118.58
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,120,76.11
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,70,35.2
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,50,23.82
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,20,24.97
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,4,25.77
Fenice 2012,S08_B,B,2012-08-22 12:46,38.66027778,-5.668055556,2823,0,30.49
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,2351,108.52
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,2000,100.63
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,1500,117.42
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,1000,103.96
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,600,105.34
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,400,109.86
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,170,88.39
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,85,51
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,35,19.87
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,20,18.53
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,4,31.59
Fenice 2012,S09_B4,B,2012-08-23 14:04,38.23888889,-8.667222222,2330,0,28.6
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,101,54.43
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,80,38.74
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,70,34.34
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,60,33.74
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,50,28.53
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,40,24.58
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,30,23.14
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,20,24.72
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,10,28.16
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,4,20.74
Fenice 2012,S010,B,2012-08-24 08:17,37.625,-11.77083333,111,0,26.98
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,2975,106.87
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,2500,108.47
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,2000,103.92
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,1500,105.16
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,1200,101.27
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,1000,99.42
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,540,96.35
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,300,86.16
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,180,87.07
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,90,38.62
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,45,21.68
Fenice 2012,S013_B,B,2012-08-25 07:09,39.13583333,-12.775,2950,4,36.62
Fenice 2012,S013_B2,B,2012-08-25 18:29,39.13694444,-12.77777778,2980,12,27.55
Fenice 2012,S013_B2,B,2012-08-25 18:29,39.13694444,-12.77777778,2980,10,33.19
Fenice 2012,S013_B2,B,2012-08-25 18:29,39.13694444,-12.77777778,2980,8,31.66
Fenice 2012,S013_B2,B,2012-08-25 18:29,39.13694444,-12.77777778,2980,6,30.35
Fenice 2012,S013_B2,B,2012-08-25 18:29,39.13694444,-12.77777778,2980,4,31.73
Fenice 2012,S013_B2,B,2012-08-25 18:29,39.13694444,-12.77777778,2980,2,28.05
Fenice 2012,S013_B2,B,2012-08-25 18:29,39.13694444,-12.77777778,2980,0,27.52
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,20,30.67
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,15,26.91
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,10,23.75
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,8,26.62
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,6,28.75
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,4,36.37
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,2,49.28
Fenice 2012,S012,B,2012-08-26 13:33,38.46944444,-15.69166667,592,0,38.77
